uniprot_domain_id_1	uniprot_domain_id_2	uniprot_domain_pair_id
30459	2756	946
2756	30460	947
30461	2756	948
31602	13925	949
31603	13925	950
27712	16612	951
23264	13293	952
23265	13293	953
5050	29346	954
28356	28178	955
33289	11780	956
9672	23744	957
2449	19494	958
2449	19495	959
2450	19494	960
2450	19495	961
8168	7076	962
8613	27877	963
4603	25302	964
24937	27589	965
33044	1217	966
33289	25093	967
25094	33289	968
28173	28173	969
28174	28174	970
7389	3575	971
14236	4784	972
14236	4785	973
14236	4786	974
14236	4788	975
17674	17675	976
17675	17675	977
32263	32263	978
32263	32264	979
32265	32263	980
32263	32266	981
32263	32267	982
32263	32268	983
32263	32269	984
32263	32270	985
32264	32263	986
32264	32264	987
32265	32264	988
32264	32266	989
32264	32267	990
32264	32268	991
32264	32269	992
32264	32270	993
32265	32265	994
32265	32266	995
32265	32267	996
32265	32268	997
32265	32269	998
32265	32270	999
32266	32263	1000
32266	32264	1001
32266	32266	1002
32266	32267	1003
32266	32268	1004
32266	32269	1005
32266	32270	1006
32267	32263	1007
32267	32264	1008
32267	32266	1009
32267	32267	1010
32267	32268	1011
32267	32269	1012
32267	32270	1013
32268	32263	1014
32268	32264	1015
32268	32266	1016
32268	32267	1017
32268	32268	1018
32268	32269	1019
32268	32270	1020
32269	32263	1021
32269	32264	1022
32269	32266	1023
32269	32267	1024
32269	32268	1025
32269	32269	1026
32269	32270	1027
32270	32270	1028
604	25982	1029
605	25982	1030
9939	9939	1031
9939	9940	1032
9940	9940	1033
9000	23287	1034
15718	8346	1035
29541	919	1036
29542	919	1037
10130	25770	1038
10541	7083	1039
7974	7127	1040
14456	9347	1041
14457	9347	1042
14458	9347	1043
4779	3133	1044
31257	2618	1045
17025	17025	1046
17025	17026	1047
17026	17026	1048
25727	25727	1049
25727	25728	1050
25728	25728	1051
3043	22202	1052
16831	4054	1053
33269	20944	1054
33269	20945	1055
20944	33270	1056
33270	20945	1057
8466	30456	1058
8467	30456	1059
27085	17858	1060
30988	31289	1061
27100	27100	1062
1889	18413	1063
21286	33729	1064
21287	33729	1065
9971	23445	1066
19000	9960	1067
29019	22720	1068
29019	22721	1069
29019	22722	1070
30438	20230	1071
20229	30439	1072
30439	20230	1073
30440	20229	1074
30440	20230	1075
20412	20412	1076
20413	20412	1077
20413	20413	1078
8571	8571	1079
28520	30948	1080
17423	22268	1081
22266	17424	1082
22267	17424	1083
17424	22268	1084
10610	18744	1085
10610	18745	1086
10611	18744	1087
10611	18745	1088
29019	2753	1089
3816	26111	1090
3817	26111	1091
26110	3819	1092
3819	26112	1093
7067	10512	1094
28543	3302	1095
4011	18912	1096
4012	18912	1097
21661	20951	1098
24527	24527	1099
28531	799	1100
799	28532	1101
799	28533	1102
73	23373	1103
73	23374	1104
17736	3297	1105
7365	12579	1106
5249	27149	1107
13429	17448	1108
6447	32517	1109
11785	14236	1110
22298	26709	1111
22298	25191	1112
17675	30867	1113
4283	2913	1114
7741	26267	1115
7741	26268	1116
17159	27149	1117
4530	31639	1118
10756	10756	1119
20813	25203	1120
10135	1119	1121
10135	1120	1122
18478	18478	1123
18479	18479	1124
18480	18480	1125
15454	20813	1126
18280	5586	1127
3816	19352	1128
3817	19352	1129
3819	19352	1130
13212	2173	1131
8522	8522	1132
25982	30397	1133
25982	30398	1134
23276	18724	1135
23277	18723	1136
2992	13590	1137
10134	10134	1138
5231	8999	1139
5232	8999	1140
14445	21334	1141
9201	32803	1142
27975	28840	1143
8947	33686	1144
24794	33350	1145
24794	33351	1146
24795	33353	1147
12294	17714	1148
3565	18612	1149
17173	17173	1150
17173	17174	1151
17174	17174	1152
17506	2721	1153
2722	17507	1154
28275	25723	1155
16894	1526	1156
11485	30424	1157
31455	28128	1158
24288	30978	1159
14511	16988	1160
1726	8613	1161
8247	12085	1162
15242	15242	1163
29470	11939	1164
22526	22526	1165
20176	4918	1166
6368	21982	1167
15182	33105	1168
25647	14718	1169
17029	3068	1170
30153	18632	1171
18632	30154	1172
30153	18633	1173
30154	18633	1174
30153	18634	1175
18634	30154	1176
30153	18635	1177
30154	18635	1178
22526	28225	1179
22526	28226	1180
17858	15591	1181
501	2893	1182
6228	32036	1183
6229	32036	1184
31399	30457	1185
31399	30458	1186
31400	30459	1187
31400	30460	1188
30461	31400	1189
8163	8163	1190
8164	8164	1191
3232	30486	1192
3233	30486	1193
28488	7343	1194
29535	29536	1195
29535	29537	1196
29535	29538	1197
29536	29537	1198
29537	29537	1199
29537	29538	1200
29538	29538	1201
27877	25726	1202
16612	3700	1203
21154	21154	1204
21154	21155	1205
21155	21155	1206
14936	23907	1207
23908	14936	1208
14937	23907	1209
23908	14937	1210
28294	28294	1211
28294	28295	1212
28295	28295	1213
500	863	1214
501	863	1215
502	863	1216
32778	13018	1217
32779	13018	1218
22932	3845	1219
30970	14102	1220
22599	24937	1221
28295	27125	1222
2080	32535	1223
23049	2116	1224
930	28714	1225
931	28714	1226
6819	6819	1227
6819	6820	1228
6820	6820	1229
6821	6821	1230
30058	8522	1231
13632	11025	1232
395	17940	1233
395	17941	1234
25414	11697	1235
10044	4921	1236
32535	17424	1237
32536	17424	1238
17423	32537	1239
32537	17424	1240
29019	20874	1241
32625	32625	1242
32626	32628	1243
32628	32628	1244
17424	18361	1245
1223	27975	1246
16937	25311	1247
30762	9070	1248
22487	3295	1249
22487	3301	1250
8956	8957	1251
28079	25811	1252
32650	1562	1253
15801	28244	1254
32558	12052	1255
32535	17940	1256
32535	17941	1257
26000	27947	1258
18217	18217	1259
4779	23213	1260
4779	23214	1261
7518	7518	1262
7518	7519	1263
7519	7518	1264
7519	7519	1265
5650	17424	1266
17423	5651	1267
5651	17424	1268
32410	8988	1269
1301	8997	1270
1301	8998	1271
1303	8999	1272
25101	12372	1273
25102	12372	1274
10953	14718	1275
24327	19756	1276
24328	19756	1277
500	17327	1278
500	17328	1279
500	17329	1280
17327	501	1281
501	17328	1282
501	17329	1283
502	17327	1284
502	17328	1285
502	17329	1286
12250	12370	1287
12250	12371	1288
18488	1014	1289
18488	1016	1290
2708	29541	1291
2708	29542	1292
6408	32479	1293
10630	26230	1294
5332	1675	1295
30220	23377	1296
23377	23377	1297
9971	27914	1298
15009	9070	1299
9449	9449	1300
9449	9450	1301
9450	9450	1302
29898	29898	1303
29899	29899	1304
14859	26668	1305
26940	6064	1306
26941	6065	1307
26132	15367	1308
26133	15368	1309
34127	30065	1310
24319	25863	1311
3020	2760	1312
3021	2760	1313
2758	3022	1314
2759	3022	1315
3022	2760	1316
2391	15294	1317
2391	15295	1318
2391	15296	1319
2392	15294	1320
15295	2392	1321
2392	15296	1322
2392	15298	1323
15294	2393	1324
15295	2393	1325
15296	2393	1326
32081	25000	1327
11548	15518	1328
11548	15519	1329
11548	15520	1330
15521	11548	1331
32341	6873	1332
8377	26698	1333
22599	29165	1334
31468	31467	1335
31469	31467	1336
31468	31468	1337
31469	31468	1338
31469	31469	1339
12225	28854	1340
6961	29491	1341
29491	6962	1342
7362	7494	1343
7363	7495	1344
21005	21122	1345
4980	11002	1346
4982	11002	1347
11002	4983	1348
4983	11003	1349
4983	11004	1350
31454	10780	1351
31454	10781	1352
10780	31455	1353
31455	10781	1354
651	19415	1355
7208	12336	1356
7208	12337	1357
7208	12338	1358
7208	12339	1359
7208	12340	1360
7208	12341	1361
7208	12342	1362
7208	12343	1363
32535	15294	1364
32535	15295	1365
32535	15296	1366
32536	15294	1367
15295	32536	1368
32536	15296	1369
32536	15298	1370
15294	32537	1371
15295	32537	1372
15296	32537	1373
17237	32998	1374
17237	32999	1375
17238	32998	1376
17238	32999	1377
29538	25167	1378
28087	18866	1379
15248	22809	1380
19844	3977	1381
1452	1452	1382
1453	1453	1383
1454	1453	1384
1455	1453	1385
1456	1453	1386
1457	1453	1387
1458	1453	1388
1459	1453	1389
1460	1453	1390
1461	1453	1391
1454	1454	1392
1454	1455	1393
1454	1456	1394
1454	1457	1395
1454	1458	1396
1454	1459	1397
1454	1460	1398
1454	1461	1399
1455	1454	1400
1455	1455	1401
1455	1456	1402
1455	1457	1403
1455	1458	1404
1455	1459	1405
1455	1460	1406
1455	1461	1407
1456	1454	1408
1456	1455	1409
1456	1456	1410
1456	1457	1411
1456	1458	1412
1456	1459	1413
1456	1460	1414
1456	1461	1415
1457	1454	1416
1457	1455	1417
1457	1456	1418
1457	1457	1419
1457	1458	1420
1457	1459	1421
1457	1460	1422
1457	1461	1423
1461	1458	1424
1461	1459	1425
1461	1460	1426
1461	1454	1427
1461	1455	1428
1461	1456	1429
1461	1457	1430
1461	1461	1431
15155	15155	1432
4541	2600	1433
6262	10756	1434
3141	5673	1435
18814	2513	1436
18815	2513	1437
5411	27507	1438
5413	27509	1439
23828	13195	1440
14445	4444	1441
10068	10068	1442
10068	10069	1443
10068	10070	1444
10069	10068	1445
10069	10069	1446
10069	10070	1447
10070	10068	1448
10070	10069	1449
10070	10070	1450
10071	10071	1451
12906	20813	1452
27535	2081	1453
9640	9640	1454
25982	18096	1455
25982	18097	1456
3500	3500	1457
144	5542	1458
21711	26272	1459
28077	28677	1460
4011	23940	1461
4012	23940	1462
17327	21349	1463
17327	21350	1464
17327	21351	1465
21349	17328	1466
17328	21350	1467
17328	21351	1468
21349	17329	1469
21350	17329	1470
17329	21351	1471
8165	8165	1472
8167	8167	1473
31138	26884	1474
17329	17463	1475
30392	4140	1476
27274	16153	1477
28338	4775	1478
7965	3556	1479
7365	27502	1480
14166	27065	1481
14166	27066	1482
32313	32313	1483
5542	2969	1484
2970	5542	1485
22918	3966	1486
22918	3967	1487
1977	23688	1488
4961	24594	1489
4962	24594	1490
4962	24595	1491
4964	24594	1492
4964	24595	1493
21606	32236	1494
14445	15020	1495
1789	31814	1496
17424	32368	1497
17424	32369	1498
10423	16979	1499
18217	32595	1500
24874	24875	1501
24874	24876	1502
24875	24875	1503
24875	24876	1504
24876	24875	1505
24876	24876	1506
24879	24879	1507
25821	1935	1508
918	32510	1509
32509	919	1510
919	32510	1511
32512	920	1512
33903	8588	1513
19017	21682	1514
19017	21683	1515
21682	19018	1516
19018	21683	1517
4454	14554	1518
6391	6391	1519
6391	6392	1520
6392	6391	1521
6392	6392	1522
5314	9668	1523
9971	15780	1524
18685	27085	1525
28694	25403	1526
28695	25404	1527
21122	22266	1528
21122	22267	1529
21122	22268	1530
16206	2643	1531
16207	2643	1532
33424	25811	1533
1821	4677	1534
1821	4678	1535
5828	30273	1536
23696	27554	1537
27030	4701	1538
14353	1877	1539
1877	14354	1540
1878	14354	1541
1877	14355	1542
18836	2259	1543
18836	2260	1544
28356	2032	1545
11579	32250	1546
11579	32251	1547
11580	32250	1548
11580	32251	1549
6332	5471	1550
30688	11124	1551
32575	18017	1552
32576	18018	1553
8168	4256	1554
26902	6896	1555
26903	6896	1556
26902	6897	1557
26903	6897	1558
5867	29781	1559
2391	863	1560
2392	863	1561
862	2393	1562
2393	863	1563
33507	24288	1564
4556	2369	1565
29541	30885	1566
29542	30885	1567
30885	29545	1568
21396	12719	1569
3297	13736	1570
33044	30646	1571
15208	13367	1572
15209	13367	1573
32037	14912	1574
11002	18814	1575
11002	18815	1576
18814	11003	1577
18814	11004	1578
2463	12570	1579
28074	15298	1580
28075	15298	1581
28077	15294	1582
28077	15295	1583
28077	15296	1584
28078	15298	1585
15294	28079	1586
15296	28079	1587
28079	15298	1588
10423	18430	1589
23391	22794	1590
23391	22795	1591
22794	23392	1592
23392	22795	1593
24632	16736	1594
13394	28128	1595
11164	7240	1596
491	2093	1597
2992	5442	1598
17673	17673	1599
16677	31927	1600
16677	31928	1601
31927	16678	1602
16678	31928	1603
15022	32918	1604
15023	32918	1605
12166	20939	1606
7953	862	1607
6047	6047	1608
33044	32976	1609
13989	13989	1610
11190	11190	1611
24817	13293	1612
7344	8320	1613
4603	4603	1614
14198	24732	1615
14554	26277	1616
34148	25191	1617
20198	27658	1618
20715	20715	1619
28780	3516	1620
26291	11697	1621
28560	10935	1622
28560	10936	1623
